username,firstname,lastname,email,class,role,department
jkowalski,Jan,Kowalski,jan.kowalski@zsel.opole.pl,1A,student,
anowak,Anna,Nowak,anna.nowak@zsel.opole.pl,1A,student,
pwisniewski,Piotr,Wiśniewski,piotr.wisniewski@zsel.opole.pl,1B,student,
mlewandowska,Maria,Lewandowska,maria.lewandowska@zsel.opole.pl,1B,student,
kkaminski,Krzysztof,Kamiński,krzysztof.kaminski@zsel.opole.pl,2A,student,
azielinska,Alicja,Zielińska,alicja.zielinska@zsel.opole.pl,2A,student,
twojcik,Tomasz,Wójcik,tomasz.wojcik@zsel.opole.pl,3Ti,student,
ekozlowska,Ewa,Kozłowska,ewa.kozlowska@zsel.opole.pl,3Ti,student,
ajablonski,Adam,Jabłoński,adam.jablonski@zsel.opole.pl,1Li,student,
kmalinowska,Katarzyna,Malinowska,katarzyna.malinowska@zsel.opole.pl,1Li,student,
jnowicki,Jacek,Nowicki,jacek.nowicki@zsel.opole.pl,,teacher,matematyka
mpietrzak,Monika,Pietrzak,monika.pietrzak@zsel.opole.pl,,teacher,informatyka
rkrol,Robert,Król,robert.krol@zsel.opole.pl,,teacher,fizyka
awojciechowska,Agnieszka,Wojciechowska,agnieszka.wojciechowska@zsel.opole.pl,,teacher,chemia
mkwiatkowski,Marcin,Kwiatkowski,marcin.kwiatkowski@zsel.opole.pl,,teacher,elektrotechnika
bduda,Barbara,Duda,barbara.duda@zsel.opole.pl,,teacher,język-polski
rkaczmarek,Rafał,Kaczmarek,rafal.kaczmarek@zsel.opole.pl,,teacher,język-angielski
imazur,Irena,Mazur,irena.mazur@zsel.opole.pl,,teacher,historia
psawicki,Paweł,Sawicki,pawel.sawicki@zsel.opole.pl,,teacher,wf
mwalczak,Magdalena,Walczak,magdalena.walczak@zsel.opole.pl,,staff,
akowalczyk,Andrzej,Kowalczyk,andrzej.kowalczyk@zsel.opole.pl,,admin,
